informal_to_formal_indo,sentiment_label
orang tersangka judi gorontalo guru pondok pesantren,2
kepala bappeda kota gorontalo konsultasi tjsl kantor pt smi,2
pemprov ajak diskusi jasa pengurusan transportasi atur,2
khusus bagikan kegiatan kepresidenan akun instagram prabowo subianto juta pengikut,2
tindak keluhan petani pemkot kotamobagu cek pemanfaatan bantuan alsintan,2
kpu pohuwato gelar sosialisasi segmen penyandang disabilitas,2
bele mo o sehati diharapkan pelayanan,0
hadirkan wizz baker geisha pesta rakyat tonny marten lapangan likada hebatkan gorontalo,2
kpu pohuwato kampanye akbar paslon rencananya digelar popayato,1
tim pemenangan paslon tonny marten blusukan titik lokasi pohuwato,1
ismail madjid safari jumat masjid al mubaroq dulomo utara,2
erwin jamin kesejahteraan masyarakat pasangan gas terpilih,2
smp negeri kotamobagu raih penghargaan sekolah adiwiyata sulut,2
pemain timnas indonesia masuk daftar team of the week bersanding striker jepang koki ogawa,2
bri tawarkan kemudahan investasi sukuk tabungan st brimo,1
cegah penyebaran paham intoleran radikal satgaswil gorontalo da i polri sosialisasi sma tapa,1
survei tertinggi paslon tonny uloli marten taha pemenang pilgub,2
semarak malam puncak rangkaian dy natalis ubm gorontalo,1
tp pkk kota gorontalo luncurkan program gercep pkk sehat,1
kadis kominfotik lakukan observasi desa replika antikorupsi desa toto utara,2
survei terbaru tonny marten tertinggi potensi menangkan pilgub,1
terobosan smks bina mandiri boalemo bentuk komunitas belajar tingkatkan prose pembelajaran,2
pj gubernur ajak bandara berkolaborasi,2
ghm ajang sport tourism,2
kampanye monologis mulus didominasi milenial gen z,1
peserta daerah terkesan ghm,2
terima tim bpk gorontalo suharsi igrisa bentuk sinergitas pemkab pohuwato,2
ribuan warga penuhi lokasi kampanye gusnar idah lapangan padebuolo,2
kampanye akbar ismet risman dihadiri puluhan ribu massa dimeriahkan nabila maharani the soul,2
kunjungi kantah kabupaten gresik wamen ossy tekankan pengelolaan pertanahan adil merata berkesinambungan ekonomi,2
momen akrab prabowo subianto berfoto berbagi canda wartawan london,2
ruslie habibie yakini thariq nurjana sejahterakan rakyat gorut,2
knkt periksa rekaman suara kokpit pesawat jatuh pohuwato,1
smp negeri kota gorontalo deklarasikan sekolah anti narkoba anti sampah plastik hut,2
idah syahidah tuntaskan blusukan dor to dor,1
hindari penyalahgunaan wewenang jelang pilkada wamendagri penyaluran bansos ditunda,1
penuh semangat helmi ajak warga boalemo menangkan gusnar idah,1
terpilih haji ramli allah korupsi,2
ratusan warga poowo barat sambut positif program sapi paslon iris,0
pemprov pt trans continent bersinergi kembangkan perindustrian daerah,2
mpr ri buka formasi penerimaan ppk simak tahapan seleksi persyaratannya,2
dugaan penghinaan ismet mile jurkam dilimpahkan polres,2
secarik kertas warga mananggu berisi aspirasi harapan burhanudin rivendy,2
kpu pohuwato gelar simulasi tungsura uji efektivitas apliksi sirekap,2
kh abdullah aniq nawawi islam mengutuk money politik mengutuk kesenjangan sosial penyebab utamanya,1
survei kalah paslon cagub hamzah isa optimis pergerakan masyarakat,2
kemenag buka seleksi petugas penyelenggaraan ibadah haji ppih h m,2
prabowo anak indonesia lapar setuju pemerintahan,2
bappeda konsultasi terkait tjsl,2
rad penyandang disabilitas diharapkan dijadikan rujukan,0
hasil survey crc gusnar idah unggul berpotensi menangkan pilgub gorontalo,1
pj gubernur gorontalo hadiri rakornas pusat daerah,2
kampanye monologis masyarakat tonny marten turunkan angka kemiskinan,2
panitia pentas baku lapas mantapkan persiapan jelang turnamen,2
ghm sukses digelar contoh event olahraga,1
tonny marten komitmen perjuangkan kesejahteraan petani provinsi gorontalo,2
direktur utama bri sunarso sabet penghargaan best ceo bri borong penghargaan bergengsi top bumn award,1
prabowo dilantik pemimpin dunia optimistis diplomasi indonesia,2
satgas omp jamin keamanan kampanye monologis lapangan padebuolo,2
barang bukti perkara dimusnahkan kejari kota gorontalo botol miras,2
pedagang kaki puji hasil debat tonny marten menangkan pilgub,1
pasangan iris dicegat warga jalan rindu si gembala sapi,2
program unggulan iris ditiru paslon bukti lawan konsisten visi,1
awali kunjungan peru sarapan bareng pm australia prabowo bahas kerjasama pertahanan ekonomi,1
gusnar idah atasi problem kemiskinan gorontalo,2
bingung membendung ramah pilwako gorontalo lawan main uang,0
pemkab pohuwato serahkan nota pengantar ranperda apbd,2
prabowo suarakan dukungan kemerdekaan palestina pidato perdana presiden anti penindasan,1
wisuda universitas negeri gorontalo kukuhkan wisudawan terbaik,1
program bantuan rumah ibadah mulus bone bolango daerah religius,1
kadis kominfotik observasi desa replikasi antikorupsi,2
nasabah bri atur limit transaksi aplikasi brimo,2
timnas indonesia kalahkan arab saudi marselino pahlawan,2
laksanakan upacara peringatan pahlawan pj bupati buteng bacakan amanat mensos ri,2
studi singkat kerja aai skala digelar provinsi gorontalo diikuti peserta pejabat indonesia,2
jelang hut pemprov rilis logo hut provinsi gorontalo,2
putera sampoerna foundation raih penghargaan bpmp provinsi gorontalo komitmen transformasi pendidikan berkualitas,1
bonebol perintis ten k pelari meriahkan lomba lari k suwawa,2
lokasi ujian jadwal pelaksanaan skd cpns upt bkn gorontalo salah satunya,2
pasar murah gorontalo dikaitkan,1
