informal_to_formal_indo,sentiment_label
nurcholis r lasman rebut ketua hima analis kesehatan fstik ubm gorontalo,2
kapolri kantongi nama calon wakapolri prose penunjukan rampung,2
indonesia uea lakukan pertukaran mou bidang industri kesehatan prabowo mbz saksi,2
dirintis an sosok merek cokelat snicker duduki peringkat top orang terkaya dunia,1
paula dituding mendua pengamat dampak perselingkuhan rumah tangga,2
paslon ilomata laporkan laporannya ditindaklanjuti bawaslu pohuwato,2
implementasi mbkm pendidikan inklusi ubm gorontalo jalin kerjasama dinas pendidikan,2
asisten ii hadiri rakor pencegahan terorisme ajak,2
kedatangan prabowo brasil disambut puluhan wni bangga,1
pimpin laga tim garuda sosok wasit rustam lutfullin pengadil lapangan jelang kontra arab saudi,2
tonny marten tangani petani miliki lahan pertanian,2
aleg deprov pantau perkembangan proyek pembangunan jalan jalur selatan,2
dituding ilegal sekda pohuwato bela perusahaan wood pellet,0
peserta pelatihan dasar teater angkatan ix peneti gorontalo dikukuhkan,1
aktivitas pertambangan bonepantai memicu protes pjs bupati terjunkan mediasi,2
pdip berkas nama pimpinan dprd gorontalo utara,2
pemprov dorong pendidikan vokasi tanamkan nilai kewirausahaan,1
sidak spbu gorontalo pertamina cek takaran bbm antisipasi kecurangan,2
presiden prabowo letakkan bunga monumen pahlawan rakyat tianmen bentuk penghormatan pahlawan china,2
pasangan iris disambut hangat warga blusukan pasar taludaa program ekor sapi sorotan,1
pj ketua pkk suharti madjid lakukan studi tiru program posyandu jakarta timur,0
inovasi disdukcapil bone bolango buka layanan kependudukan wilayah perbatasan,2
tinggalkan citra gemoy kampanye prabowo unjuk taring boyong menteri akmil magelang,2
bkn buka seleksi ppk tenaga teknis formasi cek persyaratan formasinya,2
peduli stunting pemkot gorontalo bantuan susu balita bermasalah gizi,2
pria gorontalo diduga cabuli keponakan tidur pula,2
buruan daftar ibca gelar tournament mma perdana gorontalo,2
hipmi jaya gelar diklatda transformasi pengusaha muda jakarta katalisator kota global maju merata berkelanjutan,1
plt asisten ii tutup pelatihan penguatan penyusunan,2
beli iphone negeri segini biaya pajaknya dibawa indonesia,2
ikhtiar batin do a kesuksesan pilkada,1
hadiri apel kesiapan penyelenggaraan pilkada penekanan,2
kolaborasi pkk pemerintah ditekankan rakornas tp pkk,2
pekan pencoblosan polresta gorontalo kota perketat pengamanan kampanye,2
pandemi covid peluang tersangka korupsi pengadaan apd kemenkes intip kronologi,2
komitmen bri transformasi human capital berbuah penghargaan ihca,2
antisipasi gangguan kamtibmas pilkada budiyanto tcr satlinmas siaga,2
cegah intoleransi satgaswil gorontalo densus polri polres sosialisasi smpn gorut,2
progres bele mo o sehati tunjukkan hasil,2
komisi ii dprd provinsi gorontalo bahas strategi optimalisasi pendapatan daerah anggaran,2
