judul_berita,tanggal,website,data_cleansing,data_case_folding,tokens,stopword_removal,lemmatization,informal_to_formal_indo,informal_to_formal_indo_english
KPU Pohuwato Gandeng TNI-Polri dan Satpol PP Turunkan APK,2024-11-24,https://dulohupa.id/kpu-pohuwato-gandeng-tni-polri-dan-satpol-pp-turunkan-apk/,KPU Pohuwato Gandeng TNI Polri dan Satpol PP Turunkan APK,kpu pohuwato gandeng tni polri dan satpol pp turunkan apk,"['kpu', 'pohuwato', 'gandeng', 'tni', 'polri', 'dan', 'satpol', 'pp', 'turunkan', 'apk']","['kpu', 'pohuwato', 'gandeng', 'tni', 'polri', 'satpol', 'pp', 'turunkan', 'apk']","['kpu', 'pohuwato', 'gandeng', 'tni', 'polri', 'satpol', 'pp', 'turunkan', 'apk']",kpu pohuwato gandeng tni polri satpol pp turunkan apk,KPU Pohuwato Cooperated by the Indonesian National Police Satpol PP Lower APK
"Berakhir Masa Kampanye, Akun Medsos Paslon Harus di Take-Down",2024-11-24,https://dulohupa.id/berakhir-masa-kampanye-akun-medsos-paslon-harus-di-take-down/,Berakhir Masa Kampanye  Akun Medsos Paslon Harus di Take Down,berakhir masa kampanye  akun medsos paslon harus di take down,"['berakhir', 'masa', 'kampanye', 'akun', 'medsos', 'paslon', 'harus', 'di', 'take', 'down']","['kampanye', 'akun', 'medsos', 'paslon', 'take', 'down']","['kampanye', 'akun', 'medsos', 'paslon', 'take', 'down']",kampanye akun medsos paslon take down,Campaign of the Paslon Take Down Paslon Account Campaign
KPU Tegaskan akan Ada Sanksi Jika Paslon Kampanye pada Masa Tenang,2024-11-24,https://dulohupa.id/kpu-tegaskan-akan-ada-sanksi-jika-paslon-kampanye-pada-masa-tenang/,KPU Tegaskan akan Ada Sanksi Jika Paslon Kampanye pada Masa Tenang,kpu tegaskan akan ada sanksi jika paslon kampanye pada masa tenang,"['kpu', 'tegaskan', 'akan', 'ada', 'sanksi', 'jika', 'paslon', 'kampanye', 'pada', 'masa', 'tenang']","['kpu', 'tegaskan', 'sanksi', 'paslon', 'kampanye', 'tenang']","['kpu', 'tegaskan', 'sanksi', 'paslon', 'kampanye', 'tenang']",kpu tegaskan sanksi paslon kampanye tenang,KPU emphasizes the Sanctions of the Paslon Campaign calm
Ketua KPU dan PJ Bupati Boalemo Terjun Langsung Tertibkan APK Paslon,2024-11-24,https://dulohupa.id/ketua-kpu-dan-pj-bupati-boalemo-terjun-langsung-tertibkan-apk-paslon/,Ketua KPU dan PJ Bupati Boalemo Terjun Langsung Tertibkan APK Paslon,ketua kpu dan pj bupati boalemo terjun langsung tertibkan apk paslon,"['ketua', 'kpu', 'dan', 'pj', 'bupati', 'boalemo', 'terjun', 'langsung', 'tertibkan', 'apk', 'paslon']","['ketua', 'kpu', 'pj', 'bupati', 'boalemo', 'terjun', 'langsung', 'tertibkan', 'apk', 'paslon']","['ketua', 'kpu', 'pj', 'bupati', 'boalemo', 'terjun', 'langsung', 'tertibkan', 'apk', 'paslon']",ketua kpu pj bupati boalemo terjun langsung tertibkan apk paslon,Chairperson of the PJ KPU Regent of Boalemo plunged directly to the Paslon APK
2.988 APK Mulai Ditertibkan KPU Provinsi Gorontalo,2024-11-24,https://dulohupa.id/2-988-apk-mulai-ditertibkan-kpu-provinsi-gorontalo/,  APK Mulai Ditertibkan KPU Provinsi Gorontalo,  apk mulai ditertibkan kpu provinsi gorontalo,"['apk', 'mulai', 'ditertibkan', 'kpu', 'provinsi', 'gorontalo']","['apk', 'ditertibkan', 'kpu', 'provinsi', 'gorontalo']","['apk', 'ditertibkan', 'kpu', 'provinsi', 'gorontalo']",apk ditertibkan kpu provinsi gorontalo,APK Disclaimed Gorontalo Provincial KPU
Yosef Koton ; Muhammadiyah Hadir Memberi Manfaat,2024-11-24,https://berita.gorontaloprov.go.id/2024/11/24/yosef-koton-muhammadiyah-hadir-memberi-manfaat-dan-menyejahterakan-masyarakat/,Yosef Koton   Muhammadiyah Hadir Memberi Manfaat,yosef koton   muhammadiyah hadir memberi manfaat,"['yosef', 'koton', 'muhammadiyah', 'hadir', 'memberi', 'manfaat']","['yosef', 'koton', 'muhammadiyah', 'hadir', 'manfaat']","['yosef', 'koton', 'muhammadiyah', 'hadir', 'manfaat']",yosef koton muhammadiyah hadir manfaat,Yosef Koton Muhammadiyah presents benefits
"Keripik Albaeta, Keripik Kentang Lokal yang Sukses Berkat Dukungan BRI",2024-11-24,https://www.hulondalo.id/ekbis/96414014750/keripik-albaeta-keripik-kentang-lokal-yang-sukses-berkat-dukungan-bri,Keripik Albaeta  Keripik Kentang Lokal yang Sukses Berkat Dukungan BRI,keripik albaeta  keripik kentang lokal yang sukses berkat dukungan bri,"['keripik', 'albaeta', 'keripik', 'kentang', 'lokal', 'yang', 'sukses', 'berkat', 'dukungan', 'bri']","['keripik', 'albaeta', 'keripik', 'kentang', 'lokal', 'sukses', 'berkat', 'dukungan', 'bri']","['keripik', 'albaeta', 'keripik', 'kentang', 'lokal', 'sukses', 'berkat', 'dukungan', 'bri']",keripik albaeta keripik kentang lokal sukses berkat dukungan bri,Albaeta Chips Local Potato Chips Successful thanks to BRI's support
KPU Bone Bolango Bersihkan Alat Peraga Kampanye Pilkada 2024,2024-11-24,https://www.hulondalo.id/news/96414014437/kpu-bone-bolango-bersihkan-alat-peraga-kampanye-pilkada-2024,KPU Bone Bolango Bersihkan Alat Peraga Kampanye Pilkada ,kpu bone bolango bersihkan alat peraga kampanye pilkada ,"['kpu', 'bone', 'bolango', 'bersihkan', 'alat', 'peraga', 'kampanye', 'pilkada']","['kpu', 'bone', 'bolango', 'bersihkan', 'alat', 'peraga', 'kampanye', 'pilkada']","['kpu', 'bone', 'bolango', 'bersihkan', 'alat', 'peraga', 'kampanye', 'pilkada']",kpu bone bolango bersihkan alat peraga kampanye pilkada,KPU Bone Bolango Cleaning Pilkada Campaign Props
Prabowo Kembali ke Tanah Air Usai Kunjungan Kerja ke Enam Negara,2024-11-24,https://www.hulondalo.id/news/96414013888/prabowo-kembali-ke-tanah-air-usai-kunjungan-kerja-ke-enam-negara,Prabowo Kembali ke Tanah Air Usai Kunjungan Kerja ke Enam Negara,prabowo kembali ke tanah air usai kunjungan kerja ke enam negara,"['prabowo', 'kembali', 'ke', 'tanah', 'air', 'usai', 'kunjungan', 'kerja', 'ke', 'enam', 'negara']","['prabowo', 'tanah', 'air', 'kunjungan', 'kerja', 'enam', 'negara']","['prabowo', 'tanah', 'air', 'kunjungan', 'kerja', 'enam', 'negara']",prabowo tanah air kunjungan kerja enam negara,Prabowo Homeland Working Visit Six Countries
"Indonesia dan UEA Lakukan Pertukaran MoU Bidang Industri Hingga Kesehatan, Prabowo dan MBZ Jadi Saksi",2024-11-24,https://www.hulondalo.id/news/96414013879/indonesia-dan-uea-lakukan-pertukaran-mou-bidang-industri-hingga-kesehatan-prabowo-dan-mbz-jadi-saksi,Indonesia dan UEA Lakukan Pertukaran MoU Bidang Industri Hingga Kesehatan  Prabowo dan MBZ Jadi Saksi,indonesia dan uea lakukan pertukaran mou bidang industri hingga kesehatan  prabowo dan mbz jadi saksi,"['indonesia', 'dan', 'uea', 'lakukan', 'pertukaran', 'mou', 'bidang', 'industri', 'hingga', 'kesehatan', 'prabowo', 'dan', 'mbz', 'jadi', 'saksi']","['indonesia', 'uea', 'lakukan', 'pertukaran', 'mou', 'bidang', 'industri', 'kesehatan', 'prabowo', 'mbz', 'saksi']","['indonesia', 'uea', 'lakukan', 'pertukaran', 'mou', 'bidang', 'industri', 'kesehatan', 'prabowo', 'mbz', 'saksi']",indonesia uea lakukan pertukaran mou bidang industri kesehatan prabowo mbz saksi,Indonesia UAE Conduct an exchange of MoU in the Prabowo MBZ Witness Health Industry
